strain	PC1
AB1	-1.43486459884392
CB4852	-6.20745794658563
CB4854	-1.95756269943127
CB4856	9.89411090364372
CB4857	-6.48351641229042
CB4858	3.78968572480034
CB4932	-5.70703860788266
CX11262	-8.12019874609842
CX11264	2.45072178103283
CX11271	5.38011475776138
CX11276	5.66163735903653
CX11285	-8.09236361012601
CX11292	-1.37753052073133
CX11307	-3.77121431004053
CX11314	-7.17345972683619
CX11315	-10.0100829372147
DL200	0.755855831339838
DL226	7.30520506328924
DL238	-13.9396176539481
ED3005	20.5232054729539
ED3011	16.9412866809202
ED3012	3.53111014559154
ED3040	4.35243696242985
ED3046	7.30978221049133
ED3048	7.79098659053564
ED3049	6.01293245855914
ED3052	-3.26821895944369
ED3073	0.946265183260437
ED3077	-3.5740954599527
EG4347	-7.91706814405583
EG4349	-0.47091116742777
EG4724	10.0872552048258
EG4725	-0.619748333702973
EG4946	4.7614781650798
JT11398	-1.44705490681582
JU1172	0.622015146456292
JU1200	1.08403829371405
JU1212	-2.09622667712369
JU1213	-6.68784040534086
JU1242	5.53020304855107
JU1246	-9.97182006183431
JU1395	0.904586210953992
JU1409	6.68061688127327
JU1440	2.36485190060639
JU1491	-5.21135291023081
JU1530	-2.21046814808256
JU1568	8.57045799017275
JU1580	-14.9086008610978
JU1581	2.08953840339167
JU1586	-0.513886823151889
JU1652	3.78331006374089
JU1896	-1.55869715178835
JU258	-6.31820407183496
JU310	-0.0924999872701562
JU311	1.34706191634031
JU323	0.0125025530444011
JU346	-10.7241082987119
JU360	2.39861585146932
JU367	-8.0508016958902
JU393	0.86182825477471
JU394	0.394431838748772
JU406	-2.05892849338355
JU440	0.854829483561785
JU561	3.13705148262494
JU642	-2.19881489912258
JU751	-2.75431381467778
JU774	0.764568236491657
JU778	-5.33146553366923
JU782	8.74318181389359
JU792	-5.92827682381771
JU830	-2.53981024014286
JU847	-1.82350863694273
KR314	14.9100384301706
LKC34	-10.0429970483623
LSJ1	-6.16746710970185
MY1	-6.64699163758627
MY10	3.75712490621408
MY16	13.8055243358514
MY18	1.14631925773599
MY23	-1.8808738431772
N2	2.61257269616754
PB303	6.33931850228929
PB306	-1.58301907706925
PX179	-15.6951539570467
RC301	11.1681781391195
WN2002	3.19129681557571
